gene_id,symbol,HPctrl1,HPctrl2,HPctrl3,HPctrl4,HP1hr1,HP1hr2,HP1hr3,HP1hr4,HP4hr1,HP4hr2,HP4hr3,HP4hr4
ENSMUSG00000004562,Arhgef40,7088.645513,7653.46791,5859.323685,7591.646992,5499.191741,3826.899094,4591.290312,7064.182354,5775.293096,3556.528439,5994.965621,7072.668871
ENSMUSG00000004561,Mettl17,841.2612895,744.8630569,705.0395479,666.7941042,725.0495444,689.9263366,683.0669655,557.5003493,751.2877273,662.680435,732.7656334,656.4252853
ENSMUSG00000004558,Ndrg2,17993.5413,17663.49632,18078.05725,15088.17777,16020.74968,14082.34258,14949.82642,14639.82524,19680.59267,18492.65694,17593.87427,19064.76443
ENSMUSG00000004552,Ctse,7.41199374,3.724315284,NA,1.96115913,1.962245046,2.307445942,6.751897517,4.185438058,9.252311912,NA,NA,NA
ENSMUSG00000004540,Psg17,1.852998435,1.862157642,9.369296318,NA,2.943367569,NA,NA,5.022525669,NA,NA,NA,1.672421109
ENSMUSG00000004535,Tax1bp1,8802.669065,8892.733821,10355.41476,9080.166772,10299.82425,12549.04475,11751.67763,8996.180562,10501.37402,12877.08573,9826.98707,9469.24832
ENSMUSG00000004530,Coro1c,3189.936806,3958.947147,3836.726842,4142.948662,4069.696225,3540.775798,3792.315772,4100.055121,5021.229675,4118.08556,5462.532112,4352.475937
ENSMUSG00000004508,Gab2,969.1181815,1107.052718,1096.207669,1322.801833,1314.704181,1351.009599,1313.244067,1269.024819,1386.921556,1047.809649,1323.04906,1223.376041
ENSMUSG00000004500,Zfp324,856.085277,765.346791,846.7501547,905.0749385,455.2408506,424.5700533,495.1391513,529.0393705,763.3157328,614.2703383,742.4072865,847.9175023
ENSMUSG00000004473,Clec11a,40.76596557,50.27825634,32.79253711,61.77651259,37.28265587,29.99679724,21.38100881,27.62389118,27.75693574,43.03119708,33.21013836,51.84505438
ENSMUSG00000004462,Tbccd1,1487.031244,1574.454287,1612.690129,1506.170212,1425.571026,1351.009599,1583.319968,1238.052578,1427.631728,1442.620882,1401.25358,1473.402997
ENSMUSG00000004460,Dnajb11,3509.579036,4157.266936,4175.192672,4397.899349,4710.369232,4486.828634,4338.094155,4225.618263,4054.36308,3821.170301,4523.006585,4329.898252
ENSMUSG00000004455,Ppp1cc,3596.669962,4026.915901,4360.236274,4209.628072,4469.013092,5094.840639,5025.662386,4185.438058,4234.783162,4834.554992,4686.914688,4376.726043
ENSMUSG00000004451,Ralb,1842.806944,2056.753116,2151.424667,2186.69243,2245.789455,2175.921523,2150.479359,2104.438256,2153.012982,1993.420205,2156.516404,2302.087657
ENSMUSG00000004446,Bid,553.1200328,652.6862536,672.2470108,660.9106268,704.4459714,544.5572422,605.4201441,663.810476,572.7181074,484.1009671,624.5648601,627.9941265
ENSMUSG00000004415,Col26a1,930.2052144,1017.669151,727.2916267,766.8132198,415.0148272,267.6637292,333.0936109,498.9042165,430.2325039,244.2020434,244.2552111,422.2863301
ENSMUSG00000004394,Tmed4,4651.026072,4714.98315,4699.873265,4584.209466,4991.951396,4159.17131,4769.09028,4664.252172,4196.848683,4123.46446,4535.862123,5088.341225
ENSMUSG00000004393,Ddx56,1465.721762,1479.484247,1629.086397,1535.587599,1459.910314,1187.180937,1308.742802,1351.059405,1424.856034,1210.252418,1522.309891,1471.730576
ENSMUSG00000004383,Large1,2989.812975,3266.224504,3405.739212,3718.35771,3507.513019,3526.931122,3498.60823,3687.370929,3512.177602,3022.941595,4151.267295,3733.680126
ENSMUSG00000004371,Il11,5.558995305,2.793236463,23.42324079,15.68927304,19.62245046,13.84467565,22.50632506,18.41592745,10.1775431,10.75779927,13.92683221,17.56042165
ENSMUSG00000004366,Sst,3.70599687,5.586472927,NA,7.84463652,NA,NA,NA,6.696700893,NA,NA,NA,NA
ENSMUSG00000004364,Cul3,5238.426576,4882.577338,5803.107907,5401.032244,6617.671417,9550.518753,8019.003618,5688.847408,6430.356779,9675.564663,6119.235816,6088.449048
ENSMUSG00000004360,9330159F19Rik,968.1916823,832.3844661,927.5603355,692.2891729,1047.838854,1246.020809,1103.935244,997.808433,1819.929753,2561.432006,1799.77524,1636.464055
ENSMUSG00000004359,Spic,NA,NA,2.342324079,NA,1.962245046,NA,NA,5.022525669,1.850462382,2.151559854,2.142589571,NA
ENSMUSG00000004356,Utp20,2597.903806,2482.256137,2769.798224,2857.408852,2506.768046,2440.124083,2636.615981,2713.838037,3335.458444,2899.226903,3338.154552,2289.544498
ENSMUSG00000004347,Pde1c,88.01742566,76.34846333,79.6390187,96.09679737,149.1306235,133.8318646,110.2809928,82.87167355,75.86895768,96.82019343,59.992508,75.25894991
ENSMUSG00000004328,Hif3a,31.50097339,27.00128581,16.39626856,17.65043217,12.7545928,23.07445942,21.38100881,15.06757701,454.2885149,556.1782222,567.7862364,321.9410635
ENSMUSG00000004319,Clcn3,9481.792992,8839.662328,10255.86598,9173.32183,9542.397657,13532.01673,12119.65604,9115.047002,10548.56081,14293.88789,9575.232795,9610.567904
